Business ID,Business,City,State,Zip,Phone,TOB,Dues,Plan,AB Status,Established,Joined,Dropped on,Why,Rating,Inq 1Year,Inq 3Year
90048874,4 M Trenching LLC,Oklahoma City,OK,73128,(405) 942-4175,Trenching Contractors,$600.00 ,,Cancelled -Non-Payment,6/29/2000,8/2/2016,9/4/2018,"Cancelled, nonpayment of dues",A+,6,20
90028599,4-D Lawn & Landscape Co.,Lawton,OK,73506,(580) 510-9983,Landscape Contractors,$275.00 ,,Cancelled -Non-Payment,1/1/1990,10/17/2012,10/13/2016,"Cancelled, nonpayment of dues",A+,41,78
90050733,"405 IT, LLC",Edmond,OK,73012,(405) 757-4046,Computer Consultant,$474.00 ,PP,Cancelled -Non-Payment,5/13/2005,2/21/2017,8/15/2018,"Cancelled, nonpayment of dues",A+,37,44
90031850,405 Roofing & Construction,Oklahoma City,OK,73160,(405) 790-0414,General Contractor,$375.00 ,,Not Accredited,1/1/2008,6/29/2013,8/20/2014,Revoked,NR,45,211
90050310,4D Architectural Designs and Construction LLC,Moore,OK,73160,(405) 793-7839,Design Contractor,$474.00 ,PP,Resigned,8/17/2014,11/1/2016,8/1/2018,Out of Business,NR,22,105
90027406,4Play ATV & Marine,Lone Grove,OK,73443,(580) 657-3445,Boat Repair,$394.00 ,,Not Accredited,1/1/2007,7/3/2012,1/5/2014,"Cancelled, nonpayment of dues",A+,20,41
90050490,4V Veterinary Service & Supply PLLC,El Reno,OK,73036,(405) 262-2245,Veterinarian,$474.00 ,PP,Cancelled -Non-Payment,7/15/2008,12/22/2016,9/11/2018,"Cancelled, nonpayment of dues",A+,26,37
90046413,5 Star Corral,Oklahoma City,OK,73128,(405) 949-9991,Restaurants,$633.00 ,IP,Resigned,12/1/2014,3/22/2016,12/20/2016,No Benefit/Value,NR,3,16
90048942,5 Star Mobile RV Repair & Maintenance,Oklahoma City,OK,73179,(405) 652-9525,RV Repair,$474.00 ,PP,Cancelled -Non-Payment,7/31/2015,2/6/2017,8/15/2018,"Cancelled, nonpayment of dues",A+,62,137
90018990,"5 Star Roofing & Construction, LLC",Oklahoma City,OK,73116,(888) 488-6101,Roofing Contractors,$444.00 ,,Not Accredited,1/1/1993,6/13/2010,7/25/2011,"Cancelled, nonpayment of dues",NR,20,54
90019021,5 Star Roofing & Exteriors,Cypress,TX,77429,(405) 549-7924,Roofing Contractors,$414.00 ,,Not Accredited,7/1/2008,5/28/2010,4/17/2012,"Cancelled, nonpayment of dues",NR,27,40
90054271,"5 TO 9 Plumbing Service, LLC",Moore,OK,73160,(405) 650-7883,Plumber,$474.00 ,PP,Cancelled -Non-Payment,8/21/2014,11/10/2017,9/7/2018,"Cancelled, nonpayment of dues",A+,59,99
90040978,9 Design,Edmond,OK,73013,(405) 568-2333,Landscape Design,$39.50 ,,Not Accredited,9/1/2010,4/2/2015,11/2/2015,"Cancelled, nonpayment of dues",A+,14,20
90040978,9 Design,Edmond,OK,73013,(405) 568-2333,Landscape Design,$39.50 ,,Not Accredited,9/1/2010,4/2/2015,11/2/2015,"Cancelled, nonpayment of dues",A+,14,20
90031453,911 Collision Works,Newcastle,OK,73065,(405) 387-4911,Auto Body Repair and Painting,$454.00 ,IP,Resigned,9/1/2007,6/2/2013,6/14/2018,Ownership Change,A+,20,79
5003282,A & A Upholstery,Midwest City,OK,73115,(405) 732-3882,Upholsterer,$393.75 ,,Not Accredited,1/1/1971,8/20/2007,3/2/2009,"Cancelled, nonpayment of dues",A+,2,10
90048903,A & A Vapors,Ada,OK,74820,(580) 436-2200,Electronic Cigarettes,$299.00 ,,Resigned,5/10/2013,8/9/2016,10/12/2016,Resignation,A+,5,11
90024254,A & B Auto Recyclers,Lexington,OK,73051,(405) 527-6608,Industrial Recycling,$414.00 ,,Not Accredited,1/1/1955,9/27/2011,2/10/2014,"Cancelled, nonpayment of dues",NR,3,9
13005580,"A & B Eco-Safe Pest Control, Inc.",Stillwater,OK,74075,(405) 372-4934,Pest Control,$469.00 ,,Not Accredited,10/30/2000,10/18/2012,2/10/2014,"Cancelled, nonpayment of dues",A+,19,44
90010133,A & B Radiator,Mannsville,OK,73447,(580) 371-9505,Radiator,$394.00 ,,Not Accredited,1/1/1982,6/11/2008,1/28/2010,"Cancelled, nonpayment of dues",NR,4,10
7000018,"A & B Rent-All, Inc.",Oklahoma City,OK,73109,(405) 632-9779,Tool Rental,$220.75 ,,Not Accredited,11/1/1975,6/4/1991,6/14/1994,Denied,A+,5,9
7001845,"A & D Heat & Air Service Co., L.L.P.",Lawton,OK,73501,(580) 353-4155,Heating and Air Conditioning,$360.00 ,,Not Accredited,1/1/1992,12/5/2000,12/15/2002,"Cancelled, nonpayment of dues",A+,10,14
90015781,A & E Roofing,Oklahoma City,OK,73127,(405) 979-0006,Roofing Contractors,$414.00 ,,Not Accredited,11/1/2008,9/9/2009,11/21/2011,"Cancelled, nonpayment of dues",NR,19,40
12000708,A & M Garage Door Company,Edmond,OK,73003,(405) 341-9000,Garage Doors,$474.00 ,PP,Revoked for Standards Violation,4/13/1992,5/12/2017,7/1/2018,Revoked,A+,78,249
90030303,A & P Exteriors Corp.,Yukon,OK,73099,(405) 593-2398,Roofing Contractors,$450.00 ,,Cancelled -Non-Payment,6/1/2010,3/14/2013,5/8/2017,"Cancelled, nonpayment of dues",A+,14,74
90034146,A & R Plus,Oklahoma City,OK,73128,(405) 789-4443,Antenna,$450.00 ,,Not Accredited,10/6/2009,2/6/2014,1/26/2016,"Cancelled, nonpayment of dues",A+,12,15
90035524,A & R Plus II,Oklahoma City,OK,73128,(405) 231-3129,Antenna,,,Not Accredited,10/6/2009,5/21/2014,2/27/2015,Out of Business,NR,7,9
90013753,"A + Lawncare, LLC",Norman,OK,73071,(405) 410-5591,Landscape Contractors,$394.00 ,,Not Accredited,4/1/2006,3/24/2009,11/7/2010,"Cancelled, nonpayment of dues",A+,11,19
90024637,"A + Towing, LLC",Lawton,OK,73505,(580) 248-3366,Towing Company,$394.00 ,,Not Accredited,10/1/2010,11/2/2011,11/13/2013,No Response,A+,3,12
12005013,A Alert Alarm,Chickasha,OK,73018,(405) 224-5811,Security System Monitors,$350.00 ,,Not Accredited,1/1/1954,,4/15/2002,"Cancelled, nonpayment of dues",A+,3,14
90006364,A and T Telephone Installation Company,Oklahoma City,OK,73119,(405) 235-7977,Telephone System Dealers,$393.75 ,,Not Accredited,1/1/1984,8/21/2007,7/28/2008,Out of Business,NR,1,3
90047839,A B 's Lock & Key,Midwest City,OK,73130,(405) 732-8088,Locksmith Supplies,$474.00 ,,Non-Renewal Other Concerns,1/1/1952,8/2/2016,9/20/2016,Cancellation,A+,9,19
90010920,A Better Backhoe & Plumbing Co.,Yukon,OK,73085,(405) 990-8187,Plumber,$394.00 ,,Not Accredited,1/1/2007,8/19/2008,3/31/2010,"Cancelled, nonpayment of dues",A+,47,116
90019791,"A Better Choice Construction, Inc.",Norman,OK,73071,(405) 924-9850,Construction Services,$469.00 ,,Not Accredited,1/1/1990,8/24/2010,1/13/2014,"Cancelled, nonpayment of dues",NR,4,155
12005076,"A Better Plumbing, Water Heater and Slab Leak Specialists",Norman,OK,73072,(405) 321-1234,Plumber,$458.00 ,IP,Revoked for Standards Violation,1/1/1996,3/4/2014,2/15/2019,Revoked,B+,114,335
90018851,"A Better Roofer, LLC",Oklahoma City,OK,73127,(405) 924-5549,Roofing Contractors,$394.00 ,,Not Accredited,1/1/2008,7/29/2010,12/21/2011,"Cancelled, nonpayment of dues",NR,20,42
90018105,A Better Solution LLC,Oklahoma City,OK,73170,(405) 640-3558,General Contractor,$485.00 ,,Not Accredited,1/1/2009,4/13/2010,11/13/2013,No Response,A+,24,73
90011277,A Cleaner Place,Oklahoma City,OK,73142,(405) 491-9500,Vacuum Cleaners,$450.00 ,,Not Accredited,6/1/2006,9/9/2008,4/27/2015,"Cancelled, nonpayment of dues",A+,5,24
90017940,A Compassionate Alternative Home Care Service,Oklahoma City,OK,73162,(405) 924-4619,Home Health Care,$414.00 ,,Not Accredited,1/1/2008,8/20/2010,3/5/2013,"Cancelled, nonpayment of dues",NR,0,6
90012647,A Family Affair Restaurant,Oklahoma City,OK,73111,(405) 427-1919,Restaurants,$414.00 ,,Not Accredited,1/1/2005,12/23/2008,8/29/2011,"Cancelled, nonpayment of dues",A+,4,9
90024638,A Flair for Hair,Midwest City,OK,73110,(405) 739-0793,Beauty Salon,$394.00 ,,Not Accredited,1/1/2000,11/2/2011,11/13/2013,No Response,A+,4,24
11002028,A Fountain of Youth,Oklahoma City,OK,73119,(405) 682-9222,Massage Therapist,$350.00 ,,Not Accredited,1/1/1996,5/24/2001,6/18/2001,Other,NR,8,33
90018812,A G C Roofing,Oklahoma City,OK,73116,(405) 732-9393,Roofing Contractors,$469.00 ,,Not Accredited,1/1/2004,6/8/2010,7/25/2011,"Cancelled, nonpayment of dues",NR,37,61
90052764,A Hand 2 Heal,Woodward,OK,73801,(580) 254-2057,Health Products,$474.00 ,PP,Resigned,1/1/2012,7/31/2017,1/30/2018,Out of Area,A+,21,54
90023386,A Home Maid Clean,Weatherford,OK,73096,(580) 772-6243,Cleaning Services,$489.00 ,,Not Accredited,6/1/2010,7/12/2011,8/5/2014,No Benefit/Value,A+,10,25
90057053,A L Remodeling & Interior Design,Enid,OK,73701,(580) 484-3257,Carpenter,$474.00 ,PP,Resigned,1/1/2007,3/9/2018,9/6/2018,Out of Business,NR,141,141
90012812,"A Newport's Mechanical, LLC",Oklahoma City,OK,73149,(405) 919-9027,Plumber,$414.00 ,,Not Accredited,1/1/2005,1/12/2009,2/23/2011,"Cancelled, nonpayment of dues",NR,47,101
10002051,"A Pigment Of Your Imagination, LLC",Lawton,OK,73505,(580) 248-2700,Decorative Ceramic,$551.25 ,,Not Accredited,8/1/2003,9/8/2004,11/16/2005,"Cancelled, nonpayment of dues",A+,6,6
90017198,A Plus Fire & Safety,El Reno,OK,73036,(405) 262-6300,Fire sprinklers,$93.75 ,,Not Accredited,1/1/2003,10/2/2014,1/12/2016,"Cancelled, nonpayment of dues",F,6,34
90017198,A Plus Fire & Safety,El Reno,OK,73036,(405) 262-6300,Fire sprinklers,$93.75 ,,Not Accredited,1/1/2003,10/2/2014,1/12/2016,"Cancelled, nonpayment of dues",F,6,34
90021881,"A Plus Lawns and Services, LLC",Oklahoma City,OK,73114,(405) 503-6814,Lawn Maintenance,$489.00 ,,Not Accredited,3/1/2009,2/23/2011,2/19/2013,"Cancelled, nonpayment of dues",A+,26,77
90014954,A R G Roofing,Edmond,OK,73034,(405) 513-8136,Roofing Contractors,$394.00 ,,Not Accredited,7/19/2007,7/7/2009,2/17/2011,"Cancelled, nonpayment of dues",F,31,57
12001430,A to Z Automotive & Tire,Oklahoma City,OK,73107,(405) 946-1100,Auto Services,$275.00 ,,Resigned,1/15/2015,10/2/2015,11/26/2018,Out of Business,A+,78,149
13002611,A to Z Roofing,Oklahoma City,OK,73106,(405) 232-2939,Roofing Contractors,$350.00 ,,Not Accredited,3/1/1997,4/16/1999,4/15/2000,"Cancelled, nonpayment of dues",NR,27,47
90024260,A Touch of Bliss,Marlow,OK,73055,(580) 658-9026,Novelties,$394.00 ,,Not Accredited,12/1/2009,9/27/2011,8/27/2012,"Cancelled, nonpayment of dues",NR,1,5
90015344,A Touch of Class,Yukon,OK,73099,(405) 350-7500,Pet Grooming,$394.00 ,,Not Accredited,1/1/1991,11/2/2011,12/12/2013,"Cancelled, nonpayment of dues",A+,7,31
90056995,A Town Construction LLC,Altus,OK,73521,(580) 379-7474,Remodel Contractors,$474.00 ,PP,Resigned,3/2/2017,2/28/2018,12/4/2018,Out of Business,A,100,102
90019088,A&A Tree Service,Altus,OK,73521,(580) 482-7618,Tree Service,$394.00 ,,Not Accredited,1/1/2000,6/19/2010,2/14/2012,"Cancelled, nonpayment of dues",A+,7,55
90045340,"A&B Accounting Center, LLC",Edmond,OK,73034,(405) 924-2143,Accounting,$474.00 ,,Resigned,4/4/2012,2/23/2016,8/1/2016,Out of Business,A+,5,14
90057120,A&G Painting LLC,Oklahoma City,OK,73159,(405) 361-8593,Residential Painter,$474.00 ,PP,Cancelled -Non-Payment,6/21/2004,4/6/2018,8/15/2018,"Cancelled, nonpayment of dues",A+,116,117
90050920,"A&M Carpet Cleaning, The Clean Team",Marlow,OK,73055,(580) 641-1283,Carpet and Rug Cleaners,$474.00 ,PP,Cancelled -Non-Payment,1/1/2009,3/21/2017,6/12/2018,"Cancelled, nonpayment of dues",A+,15,42
90030116,A's Towing and Recovery,Oklahoma City,OK,73107,(405) 702-0664,Towing Company,$450.00 ,,Not Accredited,1/1/2011,2/22/2013,9/9/2014,No Response,B-,61,189
90017704,A+ Answering Service,Enid,OK,73701,(580) 237-5993,Telephone Answering Systems,$457.00 ,,Not Accredited,1/1/2007,3/4/2010,5/21/2013,"Cancelled, nonpayment of dues",A+,3,14
90026856,"A+ Express Glass, LLC",Harrah,OK,73045,(405) 391-3700,Glass Repair,$469.00 ,,Not Accredited,1/1/2009,5/22/2012,9/16/2013,"Cancelled, nonpayment of dues",A+,14,27
90044321,"A+ Fitness, LLC",Oklahoma City,OK,73112,(405) 810-5386,Health Consultants,$474.00 ,PP,Cancelled -Non-Payment,8/8/2014,11/11/2015,2/5/2019,"Cancelled, nonpayment of dues",A+,88,161
13005300,A+ Jewelers,Midwest City,OK,73130,(405) 732-8844,Jewelry Stores,$414.00 ,,Not Accredited,1/1/2001,8/16/2011,12/15/2013,"Cancelled, nonpayment of dues",A+,9,19
90002667,"A+ Onsite Service, LLC",Oklahoma City,OK,73120,(405) 608-4464,Computer Repair,$456.00 ,,Not Accredited,11/1/2004,6/30/2006,4/23/2010,"Cancelled, nonpayment of dues",A+,6,9
90007304,A+ Pest Control,Edmond,OK,73013,(405) 330-2929,Pest Control,$600.00 ,,Cancelled -Non-Payment,7/1/2004,4/2/2015,10/13/2017,"Cancelled, nonpayment of dues",A+,430,1289
11002045,A-1 Fence Company,Tecumseh,OK,74873,(405) 273-2956,Fence Contractors,$394.00 ,,Not Accredited,1/1/1993,8/23/2012,12/13/2013,"Cancelled, nonpayment of dues",A+,30,111
9002017,"A-1 Lawn Mower Shop, Inc.",Oklahoma City,OK,73107,(405) 943-8711,Lawn and Garden,$234.01 ,,Not Accredited,1/1/1975,5/6/1993,3/31/2001,"Cancelled, nonpayment of dues",A+,45,103
9000896,"A-1 Ornamental Iron, Inc.",Oklahoma City,OK,73119,(405) 685-5510,Iron Works,$227.63 ,,Not Accredited,11/16/2018,5/5/1993,9/30/1999,"Cancelled, nonpayment of dues",NR,0,4
5003253,A-1 Overhead Door,Oklahoma City,OK,73135,(405) 670-5274,Garage Doors,,,Not Accredited,5/1/1982,4/19/1988,4/19/1989,New - NSF in first 3 pmts,A+,22,57
12000745,"A-1 Plumbing, Heating, Air Conditioning & Sheet Metal, Inc.",Enid,OK,73701,(580) 234-8348,Plumber,$434.00 ,,Not Accredited,1/1/1965,7/17/2007,8/5/2010,"Cancelled, nonpayment of dues",A+,44,136
9004836,A-1 Radiator Service,Edmond,OK,73003,(405) 341-4628,Auto Air Conditioning Equipment,,,Not Accredited,1/1/1964,9/22/1976,9/30/1977,Other,A+,5,14
90018641,A-1 Roofing,Oklahoma City,OK,73170,(405) 445-4045,Roofing Contractors,$489.00 ,,Not Accredited,1/1/2000,5/18/2010,3/31/2012,"Cancelled, nonpayment of dues",NR,38,52
9004839,A-1 Specialties,Oklahoma City,OK,73107,(405) 943-8171,Advertising Specialties,$420.00 ,,Not Accredited,1/1/1958,1/7/2011,1/10/2011,"Cancelled, nonpayment of dues",NR,3,3
4021277,"A-Better Insurance Agency, LLC",Del City,OK,73115,(405) 672-9992,Insurance Companies,$446.25 ,,Not Accredited,1/1/2004,8/20/2007,3/2/2009,"Cancelled, nonpayment of dues",A+,13,36
90041256,"A-Bolt Electric, LLC",Cache,OK,73527,(580) 510-0123,Electrician,$474.00 ,PP,Cancelled -Non-Payment,11/18/2013,2/9/2016,7/26/2017,"Cancelled, nonpayment of dues",A+,15,44
90022221,"A-Line Designs, LLC",Edmond,OK,73013,(405) 562-3195,Interior Designer,$489.00 ,,Not Accredited,9/1/2009,3/29/2011,12/12/2013,"Cancelled, nonpayment of dues",A+,24,49
90018887,A-OK Roofing and Windows,Tulsa,OK,74133,(405) 990-7505,Roofing Contractors,$394.00 ,,Not Accredited,1/1/1995,3/8/2012,9/9/2014,Other,F,44,87
90009002,A-Pro Corporation,Minco,OK,73059,(405) 284-6438,Pool Contractors,$495.00 ,,Resigned,1/1/2000,3/20/2008,2/15/2019,Out of Business,NR,86,333
90039422,A-Pro Home Inspection Services,Yukon,OK,73099,(405) 401-2257,Building Inspector,$519.00 ,PP,Resigned,9/26/2013,1/7/2015,2/5/2019,Resignation,A+,36,121
90018801,"A-R Roofing, LLC",Oklahoma City,OK,73149,(405) 820-4890,Roofing Contractors,$600.00 ,,Not Accredited,6/1/1996,6/1/2001,7/25/2011,"Cancelled, nonpayment of dues",NR,37,68
5000008,A-Sure Shot Pest Control,Edmond,OK,73012,(405) 942-5292,Pest Control,,,Not Accredited,1/16/1969,1/16/1979,9/1/1991,New - NSF in first 3 pmts,A+,33,122
90049047,"A-Team Heating & Cooling, LLC",Shawnee,OK,74804,(405) 788-7556,Residential Air Conditioning Contractors,$474.00 ,PP,Resigned,1/20/2015,9/19/2016,3/25/2019,Resignation,A+,49,177
90015785,A-Team Lawn Care and More,Oklahoma City,OK,73189,(405) 659-4918,Landscape Maintenance,$394.00 ,,Not Accredited,1/1/2006,9/9/2009,5/3/2011,"Cancelled, nonpayment of dues",A+,6,24
90012656,A-Z Towing,Yukon,OK,73099,(405) 577-6544,Towing Company,$394.00 ,,Not Accredited,1/1/2002,12/23/2008,7/27/2010,"Cancelled, nonpayment of dues",A+,26,106
90009546,"A. Daniel Woska & Associates, P.C.",Oklahoma City,OK,73116,(405) 562-7771,Lawyers,$446.00 ,,Not Accredited,1/1/1995,5/2/2008,12/28/2009,"Cancelled, nonpayment of dues",A+,5,19
90019943,"A. Geoffrey Roubik DDS, PC",Oklahoma City,OK,73116,(405) 848-6641,Dentist,$450.00 ,,Not Accredited,1/1/1994,9/2/2010,12/3/2015,"Cancelled, nonpayment of dues",A,28,75
14000003,"A. M. Concrete Cutting, Inc.",Oklahoma City,OK,73169,(405) 745-2077,Construction Services,$215.00 ,,Not Accredited,3/1/1979,5/14/1993,8/15/1996,"Financial, Cash Flow",NR,5,16
90052418,A. Mathis Roofing & Construction,Edmond,OK,73012,(405) 264-3237,Roofing Contractors,$450.00 ,,Cancelled -Non-Payment,10/20/2014,10/27/2017,11/26/2018,"Cancelled, nonpayment of dues",A+,184,266
5006981,"A.G. Edwards & Sons, Inc.",Oklahoma City,OK,73118,(405) 843-1616,Stock Transfer Agents,,,Not Accredited,1/1/1962,8/21/1962,12/1/1983,Other,NR,10,35
90027733,"A.G. Mount, Inc. / Home Inspection",Mustang,OK,73064,(405) 414-0680,Home Inspection,$394.00 ,,Not Accredited,1/1/1985,7/30/2012,12/18/2013,"Cancelled, nonpayment of dues",A+,10,22
90031314,A.I.R. Plus Inc.,Choctaw,OK,73020,(405) 618-2247,Heating and Air Conditioning,$450.00 ,,Cancelled -Non-Payment,1/1/2010,5/17/2013,5/15/2018,"Cancelled, nonpayment of dues",A+,85,303
90009410,A.J. Hudson Company,Moore,OK,73160,(405) 912-1100,Heating and Air Conditioning,$394.00 ,,Not Accredited,1/1/2007,4/21/2008,11/18/2009,"Cancelled, nonpayment of dues",A+,22,35
90020377,"A.T. Financial Services, LLC",Lawton,OK,73501,(580) 355-5800,Consumer Finance Companies,$600.00 ,,Not Accredited,5/1/2009,11/14/2010,10/3/2014,Revoked,A+,35,299
9004060,"A1 NW Vacuum & Janitors Supplies, Inc.",Oklahoma City,OK,73116,(405) 848-2929,Janitor Supplies,$444.00 ,,Not Accredited,3/1/1980,7/11/1983,7/19/2011,"Cancelled, nonpayment of dues",A+,11,26
90011291,A1 Superior Carpet Cleaning,Lawton,OK,73507,(580) 357-7368,Carpet and Rug Cleaners,$394.00 ,,Not Accredited,1/1/1988,9/9/2008,5/4/2010,"Cancelled, nonpayment of dues",A+,18,59
90004476,"AA Computer Services, Inc.",Lawton,OK,73501,(580) 357-4482,Computer Repair,$413.00 ,,Not Accredited,1/1/2002,3/23/2007,10/27/2009,"Cancelled, nonpayment of dues",A+,12,24
6000201,"AA Roofing & Repair, L.L.C.",Yukon,OK,73099,(405) 354-4847,Roofing Contractors,$350.00 ,,Not Accredited,6/1/1998,9/24/1999,12/15/2000,"Cancelled, nonpayment of dues",NR,12,22
90046459,AAA Advanced Tree Experts,Edmond,OK,73034,(405) 256-8576,Tree Service,$450.00 ,,Resigned,2/22/2016,4/19/2016,4/19/2017,"OOB - Illness, Death",A+,37,319
90017658,"AAA Fantastic Builders, LLC",Tecumseh,OK,74873,(405) 694-0310,Flooring Contractors,$414.00 ,,Not Accredited,1/1/2004,3/1/2010,10/31/2011,"Cancelled, nonpayment of dues",A+,8,26
90024131,AAA Fiberglass Repair,Moore,OK,73160,(405) 634-1429,Fiberglass Repair,$725.00 ,,Not Accredited,1/1/1992,8/8/2013,10/12/2015,"Cancelled, nonpayment of dues",A+,49,89
90036306,AAA Insurance Greg Whittaker-Agent,Yukon,OK,73099,(405) 494-6550,Insurance Agency,$450.00 ,,Cancelled -Non-Payment,4/25/2018,7/15/2014,8/29/2017,"Cancelled, nonpayment of dues",A-,38,182
90032583,AAA Pest Control,Hugo,OK,74743,(580) 326-7131,Pest Control,$375.00 ,,Not Accredited,12/1/1997,8/28/2013,10/29/2014,"Cancelled, nonpayment of dues",A+,4,52
90045159,AAA Playgrounds,Edmond,OK,73013,(866) 340-1975,Playground Equipment,$519.00 ,PP,Resigned,2/1/2008,3/31/2016,3/12/2019,Resignation,A+,19,60
7001652,AAA Seamless Guttering,Guthrie,OK,73044,(405) 348-8887,General Contractor,$370.50 ,,Not Accredited,5/13/1993,9/30/1999,1/15/2003,"Cancelled, nonpayment of dues",A+,14,36
4019458,"AAA Striping, Sealing, & Paving, Inc",Bethany,OK,73008,(405) 317-4405,Paving Contractors,$450.00 ,,Cancelled -Non-Payment,1/1/1992,11/22/2017,1/4/2019,"Cancelled, nonpayment of dues",A+,38,102
90014683,Aadvantix Roofing & Repair,Edmond,OK,73013,(405) 340-7200,Roofing Contractors,$394.00 ,,Not Accredited,5/1/1999,6/10/2009,2/28/2011,"Cancelled, nonpayment of dues",NR,22,44
10000718,"AAMPAC, Inc.",Oklahoma City,OK,73122,(405) 722-1747,Lighting Consultant,$232.30 ,,Not Accredited,2/1/1993,6/4/1994,9/15/1997,"Cancelled, nonpayment of dues",NR,5,30
90042181,Aaron McRee Construction LLC,Yukon,OK,73099,(405) 812-0424,Construction Services,$450.00 ,,Revoked for Standards Violation,3/13/2012,4/27/2018,1/27/2019,Revoked,F,126,330
90030304,"Aaron's Cabinetry, LLC",Enid,OK,73703,(580) 603-0467,Cabinets,$450.00 ,,Not Accredited,1/1/2009,3/14/2013,4/23/2014,No Benefit/Value,NR,4,13
